,job_descn
57,"Roles & Responsibilities Conduct Market research to identify business opportunities by finding prospects and evaluating their position in the industry. Researching and analyzing sales options sought by the customer through cold calling, networking and social media. Establish contact and develop relationships with prospects face-to-face and telephone, meeting with potential clients and listen to their requirements and work with technical staff to recommend engineered solution. Maintain relationships with customer by providing support, information and guidance. Identify product improvements or new product by remaining current on industry trends market achieves and competitions. Prepare and delivery appropriate presentation on products/services. Create frequent reviews and reports with sales and financial data. Ensure the availability of stocks for sales and demonstrations. Participate on behalf of the company in exhibitions or conferences. Negotiate/Close deals and handle complaints or objects. Report weekly/monthly customer base (Existing & New) with clear actions. Work collaboratively with team members and reach the sales targets set by manager and achieve better results. Maintain quality service (ISO) by establishing and enforcing organizational standards.  The Assistant Manager or Executive promotes the property and is accountable for booking individual and/or group business and converting it to profits for the property.  The Assistant Manager or Executive keeps well-informed about the operations of the property and market trends, as well as the competition; hunts for new sales leads and promotes the property as often as possible through networking, cold calling, site inspections, presentations etc., to build the client/member base. He/She establishes excellent client/member relationships and builds rapport for client/member retention, and coordinates sales activities with the rest of the sales team.  He/She meets the Director regularly to update on sales progress and implements activities to achieve the targets set by the department and optimal profits for the property. He/She also produces reports for tracking and analysis. While meeting the sales targets, he/she has to uphold the high organisational values and ensure business ethics and integrity.Requirements Diploma/ Degree in any fields At least 3 years of working experience as a sales personnel Preferably with prior sales experience in Management Systems (ISO 9001, ISO 14001, OHSAS 18001), training courses or similar background Possess good knowledge in MS office Applications Possess good communication skills, positive working attitude and be able to relate well with people Self-motivating to achieve, self-driven and exceed sales targets  ~ Apply basic negotiation skills and techniques ~ Apply principles of revenue management ~ Apply risk management procedures ~ Conduct site inspection ~ Demonstrate initiative and enterprising behaviours ~ Documenting project processes and outcomes ~ Establish relationships for customer confidence ~ Facilitate compliance with legislative and regulatory requirements ~ Facilitate effective communication and engagement at the workplace ~ Facilitate effective work teams ~ Implement process improvement change ~ Maintain personal image and emotional competence to manage self and team at the workplace ~ Monitor relationship with guests/customers ~ Monitor workplace safety and security ~ Provide catering service ~ Resolve guest/customer concerns and feedback ~ Role model the service vision ~ Secure prospect commitment ~ Sell products and services ~ Write reports"
58,"Roles & ResponsibilitiesWe want to change the way people view property search and for that, we are looking for an excellent communicator, brand guardian and content editor who is able to lead a team of writers to plan, conceptualise and execute content strategies to drive brand awareness, engagement, and customer retention.  As a strategic individual and creative storyteller, you will be responsible to develop quality and maintain consistency across media types and web platforms, with special attention given to driving increased traffic and brand visibility through blog articles, social media posts, videos, and newsletters.   We will be looking at you to:  Develop and manage editorial calendar and organization workflows Serve as a brand guardian and set guidelines for the tone, style and voice of content to ensure it's quality, clarity and consistency Turn qualitative and quantitative data into actionable insights and content recommendations Measure and analyse what’s working and what isn’t with regards to the brand’s content marketing efforts to drive conversion on the portal Act as the authority on content strategy for our clients and internal teams Coordinate production of partner contributed content Curate and edit contributor blog content from subject matter experts and external guest posts Ensure SEO optimisation of all content articles Stay on top of trends, industry updates, and best practices for content and social Channel management of digital content hubs and all supporting social channels including email / newsletter distribution Package relevant content for different distribution channels Work closely with our digital marketing specialist to determine best distribution channels and topics Coordinate with a diverse team and oversee freelance contributors Requirements Bachelor degree in mass communication or a related field is preferred At least 4-5 years experience in writing and editorial governance in digital media Excellent written and organisation skills Experienced with SEO, content categorisation and structure, content development, distribution and measurement Someone who has a sharp eye for trends, is data driven and forward-thinking and able to use analytics to inform content strategy Experienced in leading and managing creative resources (designers, writers, etc) Understand how paid, owned, and earned media work together and manage these channels effectively Knowledgeable with Wordpress, Google Analytics, Search Console, Facebook and other distribution channels to measure content success effectively Great interpersonal communication skills to foster and cultivate partner relations Adaptable and flexible - receptive and open to doing things differently and modifying strategies to reach organisational goals Highly motivated self starter who believes in what 99.co does - ready, willing and able to do whatever it takes to bring us to the top of the real estate tech arena "
59,"Roles & ResponsibilitiesJob Description    Maintain a high level of customer service when dealing with internal (staff) and external (customer) enquiries Administer and update accounts information (invoices, receipts) into system Attend to walk-in customers & handling telephone enquiries Filing and data entry Any other duties assigned by supervisors and managers. Perform other Ad hoc duties as and when assigned by manager      Working location: 172 Sin Ming Drive , Singapore 575720  Grow with us! We offer good benefits and development opportunities to maximize your potential.  Requirements Requirements:     5.5 days work  Computer literacy   "
60,"Roles & ResponsibilitiesThis role acts as a specialist to agency teams in all areas concerning the data platform and analytics services. You will be looked upon to provide designing, building and managing of data from various data platforms, as well as building efficient campaign analysis solutions to meet specific clients’ requirements. 3 best things about the job:  A role where you like to see yourself providing creative ideas to analyze post-campaign analysis and you have a liking for numbers! A role where you not only participate in day to day operational work but will be looked upon to generate ideas and initiatives proactively to drive client business needs A fantastic chance to build on regional exposure across multiple markets across APAC and develop strong project management skills with global teams   Measures of success – In three months:  Be familiar with multiple data and analytics platforms across multi markets to be able to support Regional team with collation and analysis of marketing performance.  In six months:  Own the build of various data sources (e.g. Datarama / Datamart) to support local markets with creative dashboard builds to help their reporting needs Be familiar in Adobe Analytics, AdWords, Facebook, Twitter, DCM to help deliver best practice in campaign set up Support trading team and client team with topline performance insights  In twelve months:  Able to manage builds for larger and more complex data management with minimal guidance. Also, you would be confident in discussing requirements from agency and client teams, driving data and analytics solutions to build credibility based on your business knowledge and experience gained. You, along with data manager, will be the go to people to provide oversight of performance marketing channels impact on business goals and help to drive optimization strategies based on your extensive understanding of campaign performance You will be able to recommend solutions and ideas to get the most out of data, support in data partnership conversations and be able to distill those ideas in to how they will support business goals   Responsibilities of the role:  Support Engagement/Business Lead to plan and design efficient online/offline campaign reporting solutions to meet agency and local market requirements Support agency teams in campaign insights demonstrations (internal and external) with creative dashboards Understanding of SQL/Python scripting to manage data and documenting instructions for everyone’s knowledge Comfortable with communicating and working with multiple WPP agency teams Understanding of marketing dimensions and metrics for campaign analysis and ad effectiveness and being able to effectively communicate and recommend where uplifts to performance can be delivered   What you will need:  Background in data management and analysis with a keen interest in leveraging data and technology to provide insights and analysis for advertisers and media agencies Experience with database concepts and big data platforms Experience with key data visualization tools including Datorama, Tableau, Power BI and Qlikview will be highly valued Ability to work collaboratively with multi-cultural business partners and stakeholders, work effectively within cross-functional teams Strong written and oral communication skills, ability to communicate effectively with business users from various teams   About Mindshare Mindshare, the global media agency network, and part of WPP, the largest marketing communications network in the world, has more than 7,000 employees, in 116 offices across 86 countries. Mindshare APAC has won over 300 awards in 2014/2015 and was the most awarded agency at the 2015 Campaign Asia Awards Festival. Mindshare was also recognised as the SMARTIES™ APAC ‘Agency Network of the Year 2015’ for the third consecutive year. Mindshare is also home to The 2015 Festival of Media Asia Pacific Rising Star – Jason Maggs. To learn more about Mindshare and our philosophy of Original Thinking, visit us at www.mindshareworld.com About Singapore GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in. GroupM APAC is committed to fostering a culture of diversity and inclusion. Our people are our strength so we respect and nurture their individual talent and potential.      RequirementsWhat you will need:  Background in data management and analysis with a keen interest in leveraging data and technology to provide insights and analysis for advertisers and media agencies Experience with database concepts and big data platforms Experience with key data visualization tools including Datorama, Tableau, Power BI and Qlikview will be highly valued Ability to work collaboratively with multi-cultural business partners and stakeholders, work effectively within cross-functional teams Strong written and oral communication skills, ability to communicate effectively with business users from various teams "
61,"Roles & ResponsibilitiesGFI is an international IT services company, currently employing about 18,000 people Worldwide. GFI provides its clients with innovative, long-lasting industrial solutions to leverage performance from their information systems. We design and runs industrial platforms tailored to the economic and human considerations of its clients. • Management Consulting | Digital Transformation | Innovation • Operating over 20 countries • 2017 revenue of over 1,2 billion USD 48 years of existence.  In order to support our forthcoming businesses and technological challenges, we seek innovative and agile people sharing our mind set.  We are now looking for a Big Data Security Engineer to join our team in Singapore.RequirementsContext: The Bank systems generate a significant amount of data. To realize and increase the benefits from this data, Big Data Technologies and Methodologies are becoming substantially more valuable to organizations across all industries. By leveraging emerging technology, new risks are introduced into the organization, which potentially requires additional controls, protective and detective, to secure the use of Big Data and their environments. For 2019, the Bank is looking to reduce the risks introduced by the adoption of the Big Data through the definition of controls & technologies and awareness trainings for the Big Data users (Analyst, Data Scientist, Data engineer, etc). Skills requirements:  Solid knowledge in Big Data architectures and technologies Good knowledge in the security technologies and modules in use for Big Data platforms Good knowledge in Information Technology Risk assessment methodologies Good Knowledge in the Data protection and governance for Big Data platform Good communication and advocacy skills, both verbal and written, with the ability to express complex technical issues in an easily understood manner. Ability to collaborate and communicate effectively and respectfully with both business-oriented executives and technology-oriented personnel in teams across the organization  Profile: - At least 4 years of experience in managing Big Data platform - Significant experience in designing secured Big Data platform"
62,"Roles & ResponsibilitiesJob Summary: The Singapore Institute for Clinical Sciences (SICS), Agency of Science and Technology Research (A*STAR) is seeking to appoint an outstanding post-doctoral Bioinformatician in the Systems Biology group. The Systems Biology group focuses on in-depth genomic and epigenomic analysis of highly prevalent metabolic and developmental diseases (e.g. diabetes, obesity and neurodevelopment) for biomarker discovery.   The candidate should be highly motivated and have an expertise in Next-Generation Sequencing (NGS) data analysis (such as RNA-seq). The successful candidate will be involved in analyzing genomic data generated from valuable samples obtained from birth cohorts and other trials. S/he will be part of collaborations with biological discovery groups, clinicians, pharmaceuticals and nutritional agencies.   Job Responsibilities:   Bioinformatics analyses of NGS data (eg. RNA-seq) Preparation of scientific publications, data reports and presentations To maintain good documentation of analysis pipeline in keeping with good scientific practices To act as the provider of skilled training in the area of bioinformatics data analysis to other members in the team Familiarity with widely used genomic databases and software.  Willingness to assess and adapt to new tools and methodologies.     Requirementsa)  Minimum Qualifications:  Ph.D. degree in Statistics, Computational Biology, Bioinformatics or equivalent qualification Proven productivity by previous publications in peer-reviewed biology journals is essential.      b)  Minimum Experience:  Proven experience of deploying NGS toolkits for genomic data analysis, integration and visualization R programming and Bioconductor packages Basic Unix shell scripting High performance computing experience Git, markdown, etc Aptitude for and experience of collaborative research Capable of multitasking and meeting deadlines        c)  Others:  Highly developed critical thinking and troubleshooting skills Good interpersonal and communication skills Highly self-motivated with excellent communication and writing skills in English language. Strong desire to learn in a dynamic multi-disciplinary research environment.    Desirable Attributes:  A strong background in population-based omics studies Experience with microarray data analysis, limma, WGCNA, GSEA Experience with eQTLs/meQTLs, to identify allele-specific effects Ability to work independently and goal oriented to meet multiple priorities Experience of working in a biotechnology industry, team with collaborators or a consortium    The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice.   We regret that only shortlisted candidates will be notified."
63,"Roles & ResponsibilitiesAs a result of ongoing and continued successes both within Singapore and internationally, this global IT services industry leader within the consumer world is recruiting a IT Project Coordinator to join their division based in Singapore. About the IT Project Coordinator Role: You will be supporting the build and operation of Cloud networks, which connects customers server farms in data centres to each other and to the Internet. Daily activity will include tracking urgent requests, data gathering and entry across tools, systems, and spreadsheets. The role will also coordinate activity with multiple teams, generate operational metrics, provide operational support for the team when needed. Key Responsibilities:  Create orders to ship replacement parts to network sites globally Coordinate delivery at network sites with supporting groups Triage and action incoming RMA requests from engineering groups Manage queue of work within operational dashboards Setting up and maintenance of programme tools and documentation. Administrative tasks such as meeting administration, action minutes, tracking actions and reporting. RequirementsTo succeed in this job, you must have excellent written and verbal communication skills.  Key requirements:  Proficient in Microsoft Excel and OR Google Sheets Able to interpret and analyse complex data Able to coordinate with a large cross functional global team SQL experience preferred but not required  The successful IT Project Coordinator will join a IT service company whose expertise has made them the leader in their field. This well-recognised brand offers a great working environment in this dynamic company. If you have a successful track record of Project Coordinator, you can take your career forward with this exciting IT Project Coordinator role. Apply today!   Robert Walters (Singapore) Pte Ltd ROC No.: 199706961E | EA Licence No.: 03C5451 EA Registration No.: R1872856 Geraldine Lee"
64,"Roles & ResponsibilitiesDeveloper (aka Binary Artist) Job Summary Developer (aka Binary Artist) is responsible for the full software development life cycle for PHP-based web applications, including support, testing, and documentation. The Developer will also be involved in pre-development stages such as developing proof of concepts, technical designs, and data modelling. The Developer should be comfortable with both front end and back end duties.   Responsibilities and Duties    Develop proof of concepts and technical designs Data modeling Develop, customize and integrate Moodle, Totara, and other PHP-based web applications Provide technical expertise and maintenance support for Moodle, Totara, and other PHP-based web applications on-time within SLA agreements Installation and configuration of plug-ins Manage software development, enhancement, debugging, testing and maintenance of the backend application Make design, code, testing and system quality improvement to backend application programming interface (API) Technical documentation         RequirementsQualifications and Skills    At least a diploma or degree in Computer Science, Information Technology, Information Systems, or an equivalent Minimum of 2 years’ experience in developing PHP or web-based applications Proficient in HTML/ CSS3 with JavaScript/ JQuery, MySQL and CakePHP Experience with PHP-based applications, and/or Moodle, Totara, or similar platforms will be a bonus Passion for IT and software development Willingness to learn on the job and attend upgrading courses Team player who enjoys interaction at work and during recreation "
65,"Roles & ResponsibilitiesBased in one of the regional hub as a member of both the regional and global category team, you will contribute to the development of comprehensive strategies for your sub-category and execute the resulting project portfolio in your region, improving the profitability and competitiveness for the company. The purchasing specialist will work on 2 different missions: 1 -Support global projects of Logistics/Transport category (300mEUR spend, Global coverage) reporting to directly to the Global Category manager,    Managing a contracts with transport carriers, running local, regional tenders, negotiations. Doing price benchmarks, Global contract compliance improvement actions. • Contribute to the development and the performance of global category strategies and the resulting project portfolio. • Develop comprehensive project plans that address all hurdles to project implementation and lead and facilitate regional category governance and execute global and regional category projects, supported by procurement business partners located in all major sites • Deliver savings and cost reductions as committed to the bottom line of the company and contribute to the development of the IGS organization • Manage stakeholder engagement for the category in the region, ensuring that business requirements for your category are fully understood and addressed in the category strategy, together with the Procurement Business Partners • Manage and develop relationships with strategic suppliers in the region • Ensure that risk management and compliance standards are rigorously and consistently applied across all contracts with our supply base. • Run internal & external benchmark analytics to understand & drive performance improvements in key deliverables. •Partner with the global, regional, local Transport, supply chain, sourcing, finance managers. •          Using market research in sourcing decisions to ensure category objectives and targets are met.   2- Purchasing specialist AMERA HQ, reporting to Sourcing & Procurement Manager, AMERA region In this role you will coordinate the sourcing and procurement process in Singapore Roles & Responsibilities:  Actively works with various internal stakeholders regionally (Marketing, HR, IT, finance, … and with local Implement key corporate Sourcing and Procurement processes, policies and guidelines across countries Able to analyze complex data so as to make key decision such as determining key categories and budgeting Execute and lead RFx/competitive bid/direct negotiation processes upon alignment with stakeholders of key opportunities Focus on indirect categories (IT, Marketing, Professional Services, Facilities, etc..) with selective intervention on direct spend opportunities in coordination with global team Requirements Some degree of sourcing/procurement and/or supply chain experience will be a plus  University degree in Business Administration, Finance, Supply Chain or Procurement   Good level of MS Office software (especially in MS Excel)   Written, Spoken English is a must, French languages is a plus  "
66,"Roles & Responsibilities Account payable and expense management and employee application reimbursement. Payment Expenses of with PO and without PO. Account payable payment process and checking management, and reconciliation between our company and vendor. Perform account payable payment system and design, and helping user to fill up the application form. Vendor payment status enquiry. Management report and account detail schedule preparation. Experience and technical sharing among colleagues, and training. Ad-Hoc project and accounting department database management, eg Annual report data and annual budget preparation. Requirements   Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Finance/Accountancy/Banking or equivalent. At least 1 year(s) of working experience in the related field like audit/accounting firm experiences is required for this position. Self motivated, high responsibility and able to work independently as well as in a team Would be an added advantage with GST/Corp Tax knowledge Strong attention to details and able to meet tight deadlines Communication skill, problem solving ability and overcome work challenges Full-Time positions available Fresh graduates in accountancy are eligible Ability to start work immediately or within short period would be an added advantage "
67,"Roles & ResponsibilitiesWood is currently recruiting for an Instrument Engineer.He / she is responsible for the design and approval of all instrument works on the area assigned to him, and ensure all instrument engineering works are completed in accordance with the approved project schedule and within allocated man-hours.    Review and comment PFD / P&ID for any control / interlock / safety related representations. Participate in HAZOP / SIL review meeting. Implementing safety instrument design as per review reports Implement safety instrument design as per HAZOP / SIL review reports, perform the calculation of SIL definitions and prepare safety requirement specifications Update of P&ID and instrument structure design for the SIL requirements. Prepare / review / develop specifications of DCS / SIS / F&G systems and any other PLC related systems Prepare system architecture for DCS, SIS, F&G, or any other control systems. Prepare technical bid evaluations of suppliers’ proposal for control systems Prepare material requisitions for DCS / SIS / F&G systems, SCADA or any other control systems required for the project Prepare the control system requirement for package units; supporting package specialists for MR, technical clarification and bid evaluations, document review and approval. Coordinating the interfaces between package unit control system and plant control systems Review and approve vendor documents for incorporation into the design and co-ordination with other disciplines. Provide the input to other disciplines, such as electrical consumption for electrical power supply design, heat dissipation for ACMV design, weight and dimension for civil / architecture design Prepare cause & effect matrix, logic diagrams, control narratives and safety narratives, any other necessary control & ESD system related documents for the system configurations Perform the calculation of SIL verifications and revise the instrument design structures where required Review and check the all the activities and documents required for the lifecycles of the safety instrumented system Review and approve suppliers’ hardware and software configuration. Design of control room layout Instruct and advise instrument design team for the control system hardware and cabling installation design, system cabinet earthing and grounding design Prepare instrument bill of quantity and subcontractor requisition for control system hardware installation work. Review / comment / approve supplier’s test procedures; attend FAT / SAT and follow up with any punch list Prepare functional test procedures for loop testing when requested by client. Require extensive and independent contact with clients, vendor’s representatives and project field personnel Attend and participate in coordination meetings required Direct and / or participate in job site visits to collect or deliver design and engineering data. Ensure that all comments are consistent and are included in the drawings according to the applicable procedure Requirements Degree in Electrical, Electronics or Instrumentation Engineering with minimum 8 years of experience in conceptual studies, FEED, detailed engineering, procurement and construction (EPC) projects in Refinery / Petrochemical / Chemical / Power / Pharmaceutical Plant Knowledge with ISA Standards and other international standards for instrumentation and control Knowledge of DCS / PLC based system and Field Instrumentation. Familiar with PC based design software for sizing of instruments. Preparation of requisition and procurement of instruments and control system Familiar with Instrumentation design and drafting activities including 3D Design, SPR, etc. Hands on experience with Smart Plant Instrumentation (SPI) will be an added advantage "
68,"Roles & ResponsibilitiesWood has an opportunity for a Piping Engineer. There is an increased thrust to deliver our services for the growing Asian market. As a result of this, Piping Department operation is expanding and evolving to manage the challenges of regional projects that continue to pose challenges in offering our services through a global talent pool.  Reporting to the Piping Discipline Head, the main functions of the role will be to do stress calculations and support design Carrying wout Stress Calculations and Support Design and preparing material requisitions and technical evaluation of the special support items under the supervision and following the instructions of Lead Stress and Support Engineer and in accordance with the applicable Technical Work Practices Carrying out site survey activities at field to assist the designer to develop 2D / 3D Piping general Arrangement Drawings and Tie-in isometric drawings for critical lines Preparing the Stress Critical Line List Carrying out stress analysis for all critical lines and check the support design till Isometric stage Checking of the Stress calculations prepared by other Stress Engineers and following the applicable work instructions Checking the pipe support marked up on piping construction drawings by the Piping Designer for all non-critical lines Based on the Stress analysis provide load data for all critical lines to Area Engineer, the same will be forwarded to Equipment vendors and Civil / Structural Requirements  Degree in Mechanical Engineering with at least 8 years experience in Refinery / Petrochemical / Chemical / Power Plants   Knowledge of Piping Stress Analysis, Piping layout, 3D Computer Aided design like PDS / PDMS etc   Extensive Experience in Special Analysis like Two phases Flow, Surge Analysis and Dynamic Analysis is preferable   Highly motivated, well organized, resourceful and proactive   Possess good interpersonal skills with sound written and oral communication skills   Flexible approach and able to work under pressure with a can-do attitude and a desire to win   Ability to promote an open and informal communication environment that aims at growing mutual trust and teamwork  "
69,"Roles & ResponsibilitiesResponsibilities Reporting to a team lead in the Policy Office, you will be part of the Rehabilitation and Protection Group (RPG). RPG provides services for the rehabilitation of adult and juvenile offenders and the protection of children and families. We are passionate and committed to making a difference in the lives of these children, youths and families and are looking for like-minded individuals who share the same passion as us to join our dynamic and life-changing team. You will be part of a team that  Develops policies, reviews legislation and analyses data to break cycles of abuse, neglect and offending, Advances Singapore’s interest through international relations, such as with respect to the United Nations Convention on the Rights of the Child, Builds organisational capability to enable transformation and be future-ready, and Forges partnerships with multiple stakeholders.  Requirements Functional/Technical Competencies required:  Strong tertiary qualifications in any field Experience in family law, public policy development and/or strategic planning is an advantage  Behavioural Competencies:  Strong critical thinking and quantitative analysis skills Ability to work well as a team and engage stakeholders Ability to write and communicate clearly, concisely and logically Driven and enjoys working in a challenging and fast-paced environment "
